date,time,price,oi_gex_raw,vol_gex_raw,oi_gex_m,vol_gex_m,ratio,gex_state,regime,conviction_score,grade,vix,vvix,vix_term,tick_approx,inventory_bias,unwind_score,open_drive,vanna_target,charm_target,calendar_flags,days_to_opex,opex_cycle_phase,vwap_distance,price_vs_open,session_range,vol_gex_velocity,vol_gex_direction,regime_transitions,vwap_breaks,gamma_wall_above,gamma_wall_below,time_of_day,news_sentiment,news_score,catalyst_type,catalyst_strength,macro_override,session_type,futures_direction,overnight_vix_move,overnight_news_flag,gap_direction,gap_size,gap_type,gap_conviction,vol_gex_velocity_alert,outcome_direction,outcome_points,signal_correct,max_move_up,max_move_down,claude_verdict,claude_confidence,claude_reasoning,combined_score,open_candle_type,open_candle_body_pct,open_candle_upper_wick,open_candle_lower_wick,open_candle_vol_ratio,open_candle_vwap_pos,open_candle_confluence,flow_flag_score,flow_classification,flow_contract,hedge_score,notes
2026-04-02,14:49,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The signal carries critical weaknesses: regime is INSUFFICIENT_DATA undermining any structural directional basis, bot conviction is only 40/100, and Vol GEX vs OI GEX are opposing signs with a ratio of 0.93x — failing Rule 2 confirmation entirely. While VVIX at 115.33 supports premium expansion per Rule 3, this alone cannot validate a COUNTER directional trade without regime clarity or mechanical unwind pressure (score 0/100). The combination of missing regime context and contradictory GEX signs",26,,,,,,,,,,,,
2026-04-02,14:50,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The signal is structurally weak across multiple dimensions: Vol GEX and OI GEX are opposite in sign (no directional confirmation per Rule 2), bot conviction is only 40/100, and regime is INSUFFICIENT_DATA providing no structural anchor. VVIX at 115.33 supports premium expansion (Rule 3) but this cuts both ways in a COUNTER GEX state with elevated VIX at 23.87, making directionality highly uncertain rather than tradable. Risk: INSUFFICIENT_DATA regime combined with opposing GEX signs and no unwin",26,,,,,,,,,,,,
2026-04-02,14:50,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The signal carries multiple weaknesses: regime is INSUFFICIENT_DATA making structural conviction unreliable, bot conviction is only 40/100, and the Vol/OI GEX ratio of 0.93x fails the directional confirmation threshold of 1.5x (Rule 2). While VVIX at 115.33 confirms premium expansion velocity (Rule 3), this supports selling premium rather than directional trades, and with VIX near 24 and no unwind pressure (0/100), there is no mechanical tailwind to justify a COUNTER position. Risk: INSUFFICIENT",26,,,,,,,,,,,,
2026-04-02,14:52,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The regime is INSUFFICIENT_DATA, which fundamentally undermines any structural signal — COUNTER or otherwise — leaving the bot without a reliable directional anchor. Vol GEX and OI GEX are opposite in sign (positive vs negative), failing Rule 2's confirmation threshold, and the ratio of 0.93x is well below the 1.5x required for directional conviction. While VVIX at 115.33 supports premium expansion per Rule 3, that favors volatility plays rather than directional 0DTE entries with only 40/100 bot",26,,,,,,,,,,,,
2026-04-02,14:53,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"Bot conviction is only 40/100 with INSUFFICIENT_DATA regime, meaning the structural basis for this signal is fundamentally weak with no reliable directional anchor. Vol GEX and OI GEX are opposite in sign (Vol positive, OI negative) with ratio below 1.5x threshold, meaning Rule 2 directional confirmation fails entirely. VVIX at 115.33 supports premium expansion per Rule 3, but elevated VIX at 23.87 combined with no unwind pressure (0/100) and no catalyst creates a high-noise, low-edge environmen",26,,,,,,,,,,,,
2026-04-02,14:54,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The signal carries multiple structural weaknesses: INSUFFICIENT_DATA regime makes GEX-based directional inference unreliable, bot conviction is low at 40/100, and Vol GEX vs OI GEX are opposite in sign (10.06B vs -10.81B) with a ratio below 1.5x — failing Rule 2 confirmation. VVIX at 115.33 does support premium expansion per Rule 3, but with VIX near 23.87 and no unwind pressure (0/100), there is no mechanical tailwind to justify a COUNTER directional trade. Risk: INSUFFICIENT_DATA regime combin",26,,,,,,,,,,,,
2026-04-02,14:55,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The signal carries multiple red flags: INSUFFICIENT_DATA regime removes structural confidence, bot conviction is only 40/100, and Vol GEX vs OI GEX are opposite in sign (10.06B vs -10.81B) with a ratio of 0.93x — failing the directional confirmation threshold of 1.5x per Rule 2. VVIX at 115.33 does support premium expansion (Rule 3), but with unwind score at 0/100 and no mechanical bullish pressure, there is no secondary confirmation to justify the COUNTER trade. Risk: Opposing GEX signs with su",26,,,,,,,,,,,,
2026-04-02,14:55,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The INSUFFICIENT_DATA regime makes any directional conviction structurally unsound, and the Vol/OI GEX ratio of 0.93x fails to meet the 1.5x directional confirmation threshold. While VVIX at 115 supports premium expansion (Rule 3), the near-zero unwind score eliminates mechanical bullish support, and bot conviction at 40/100 is too weak to justify execution under these ambiguous conditions. Risk: INSUFFICIENT_DATA regime combined with no unwind pressure and unconfirmed GEX alignment creates high",26,,,,,,,,,,,,
2026-04-02,14:56,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The signal carries critical weaknesses: regime is INSUFFICIENT_DATA making structural conviction unreliable, and the Vol/OI GEX ratio at 0.93x fails the directional confirmation threshold (needs >1.5x same-sign). While VVIX at 115.33 confirms premium expansion conditions, the bot's own conviction at 40/100 with zero unwind pressure and no catalyst provides no mechanical support to justify a COUNTER trade. Risk: INSUFFICIENT_DATA regime combined with near-parity GEX ratio (0.93x) means there is n",26,,,,,,,,,,,,
2026-04-02,14:57,655.75,-10.8117,10.0569,-2.61,2.43,0.93,COUNTER,INSUFFICIENT_DATA,40,D,23.87,115.33,CONTANGO,600,BULL ZONE,0,NO,,,OPEX_IN_15D,15,,2.86,0,13.09,0,STABLE,0,0,,,LATE,NEUTRAL,50,GEO,100,YES,MARKET,,,,,,,,,CHOP,0.0,YES,2.45,10.64,CHALLENGE,28,"The bot conviction is already weak at 40/100, and the INSUFFICIENT_DATA regime means there is no reliable structural basis for the COUNTER signal. Vol GEX and OI GEX are opposing in sign with a ratio of 0.93x, failing the directional confirmation threshold of 1.5x per Rule 2. While VVIX at 115.33 supports premium expansion per Rule 3, elevated VIX at 23.87 combined with no unwind pressure (0/100) and absent Vanna/Charm targets removes any mechanical tailwind to justify a structured entry. Risk: ",26,,,,,,,,,,,,
